p,mean_log_ratio
0.0001,6.910558864133307
0.00010392887350476948,6.869279869790513
0.00010801210747970387,6.828032300774042
0.0001122557665524171,6.786816416807718
0.0001166661536220709,6.745632480719876
0.00012124981922076222,6.704480758489599
0.00012601357124270764,6.663361519293742
0.0001309644850556762,6.622275035554701
0.0001361099140096866,6.58122158298905
0.0001414575003585777,6.54020144065695
0.00014701518661067506,6.499214891012403
0.00015279122732540944,6.458262219954366
0.00015879420137340956,6.41734371687872
0.00016503302467827974,6.376459674731097
0.00017151696345898436,6.335610390060649
0.00017825564799250974,6.294796163074662
0.0001852590869172426,6.254017297694162
0.00019253768209831222,6.213274101610409
0.00020010224407697008,6.172566886342374
0.00020796400812695933,6.131895967295196
0.0002161346509417161,6.09126166381961
0.0002246263079771914,6.050664299272401
0.00023345159147604918,6.010104201077892
0.00024262360920001438,5.969581700790452
0.00025215598389818943,5.929097134158098
0.0002620628735402562,5.888650841187156
0.0002723589923446169,5.8482431662080385
0.000283059632632702,5.807874457942148
0.00029418068754190606,5.767545069569901
0.0003057386746308887,5.727255358799945
0.00031775076041229536,5.687005687939526
0.0003302347858493376,5.646796423966092
0.0003432092928541045,5.606627938600097
0.0003566935518269561,5.566500608379063
0.00037070759027790697,5.526414814732923
0.00038527222257250506,5.486370944060638
0.0004004090808463931,5.446369387808138
0.00041614064713445806,5.406410542547618
0.00043249028676230005,5.366494810058168
0.00044948228304960564,5.326622597407826
0.00046714187337697504,5.28679431703702
0.0004854952866697668,5.247010386843477
0.0005045697823546404,5.20727123026857
0.0005243936908466449,5.167577276385181
0.0005449964556270016,5.127928959987088
0.0005664086769740636,5.08832672167988
0.0005886621574124136,5.0487710079734835
0.0006117899489475943,5.009262271376282
0.0006358264021566397,4.969800970490867
0.000660807217207301,4.930387570111483
0.0006867694968817632,4.89102254132316
0.0007137518016835895,4.851706361602589
0.0007417942071097516,4.812439514920763
0.0007709383631728015,4.77322249184744
0.0008012275562616012,4.734055789657416
0.0008327067734324762,4.694939912438704
0.0008654227692262856,4.655875371202619
0.0008994241351106594,4.616862683995807
0.0009347613716505241,4.577902376014278
0.0009714869635141225,4.5389949797194715
0.0010096554574259183,4.5001410349564015
0.0010493235431821854,4.461341089073909
0.0010905501378495788,4.422595697047095
0.001133396473271778,4.38390542160196
0.0011779261870141446,4.345270833342291
0.0012242054168814858,4.306692510878888
0.0012723028991492953,4.268171040961109
0.0013222900706543873,4.229707018610865
0.0013742411748965252,4.191301047259068
0.0014282333723086677,4.152953738884601
0.0014843468548595786,4.114665714155873
0.0015426649651590358,4.076437602575032
0.0016032743202425322,4.038270042624876
0.0016662649402193158,4.000163681918535
0.0017317303819748555,3.9621191773520157
0.001799767878126309,3.9241371952596404
0.0018704784814373653,3.8862184115724894
0.0019439672149069726,3.8483635119799127
0.00202034322775486,3.810573192094178
0.0020997199575355273,3.7728481576183763
0.0021822152986214977,3.735189124517618
0.002267951777306064,3.6975968191936692
0.0023570567337855906,3.660071978663091
0.0024496625112916774,3.6226153507389864
0.0025459066526540898,3.5852276942164694
0.0026459321045863796,3.54790977906197
0.0027498874299976663,3.510662386606462
0.002857927028645831,3.4734863097427904
0.002970211366459943,3.4363823531271644
0.0030869072138724396,3.399351333385
0.0032081878935150947,3.3623940793212186
0.0033342335376466315,3.325511432135186
0.0034652313556943716,3.2887042456404036
0.0036013759123072124,3.251973386489165
0.0037428694163330004,3.2153197344023097
0.003889922021149428,3.178744182404284
0.004042752136794565,3.1422476370636967
0.00420158675436059,3.105831018739564
0.004366661783132571,3.0694952618334668
0.004538222400972961,3.033241315047852
0.004716523418472301,2.9970701416507057
0.0049018296574069075,2.9609827197468634
0.0050944163440657005,2.924980042556224
0.005294569518030349,2.889063118699147
0.005502586457015851,2.853232972489338
0.00571877611840258,2.817490644234545
0.005943459598115584,2.7818371905453994
0.006176970607532626,2.7462736846527562
0.006419655969129374,2.71080121673393
0.006671876131597857,2.675420894248205
0.006934005705203244,2.6401338422820864
0.007206434018174186,2.604941203904686
0.007489565694952927,2.5698441405338146
0.007783821257164237,2.534843832313192
0.008089637748195577,2.4999414785014133
0.008407469382316273,2.465138297873189
0.008737788219299703,2.430435529133516
0.009081084865550648,2.3958344313454023
0.009437869202778898,2.3613362843718906
0.009808671145301677,2.3269423893330727
0.010194041427099404,2.2926540690789445
0.010594552419793948,2.2584726686789
0.011010798982764147,2.224399555928808
0.011443399346661396,2.190436121876596
0.011892996031637352,2.156583781367406
0.012360256801647637,2.1228439736093985
0.01284587565624904,2.0892181627613677
0.013350573861363055,2.0557078385434377
0.013875101020536827,2.022314516872183
0.014420236188292699,1.9890397405215563
0.014986789027219727,1.9558850798112108
0.015575601010525863,1.9228521333238155
0.01618754667183702,1.8899425286531104
0.016823534904099036,1.8571579231846
0.01748451030951183,1.8245000049108682
0.018171454602500928,1.7919704932836673
0.018885388067809823,1.7595711401051004
0.019627371075878898,1.7273037304603505
0.020398505657761894,1.695170083694612
0.021199937141918628,1.6631720544370843
0.022032855855315253,1.631311533675071
0.022898498891358785,1.5995904498814695
0.023798151947291315,1.5680107701991963
0.024733151233773253,1.5365745016863388
0.025704885459491535,1.505283692626127
0.02671479789374084,1.4741404339061188
0.02776438851004077,1.4431468604713753
0.028855216213973023,1.412305152856702
0.029988901158547757,1.3816175388035163
0.03116712715053748,1.3510862949672755
0.03239164415135276,1.320713748721926
0.033664270876174476,1.2905022800683106
0.03498689749520236,1.2604543236540935
0.03636148844103222,1.2305723709133425
0.037790085326331754,1.2008589723345875
0.03927480997614782,1.1713167398669715
0.04081786757934926,1.1419483494748528
0.0424215499638862,1.1127565438521645
0.044088239000729924,1.0837441353087924
0.04582041014154905,1.0549140088423443
0.047620636095377075,1.0262691254098033
0.04949159064973109,0.9978125254149621
0.05143605264185735,0.9695473324288901
0.05345691008600256,0.9414767571623207
0.05555716446284002,0.9136041017106161
0.05773993517742175,0.8859327640938818
0.060008464192278545,0.8584662431169884
0.06236612084254806,0.8312081435766577
0.06481640684028352,0.8041621818454215
0.067362961475375,0.7773321918652429
0.07000956702080909,0.7507221315868862
0.07276015435029357,0.7243360898948247
0.07561880877659163,0.6981782940616158
0.07858977611923744,0.6722531177802572
0.0816774690106439,0.6465650898282861
0.0848864734499694,0.6211189034231727
0.08822155561447842,0.5959194263351345
0.09168766893851123,0.5709717118309215
0.09528996147057715,0.5462810105304601
0.09903378351949971,0.5218527832677318
0.10292469560096822,0.4976927150580114
0.10696847669629929,0.47380673028578474
0.11117113283567572,0.4502010092415703
0.11553890601860878,0.4268820061517778
0.12007828348487441,0.4038564688638586
0.12479600734969364,0.3811314603698414
0.12969908461746604,0.3587143823753126
0.13479479758893023,0.33661300114843723
0.14009071467720938,0.31483547591552913
0.14559470164880461,0.29339039010656853
0.15131493330623266,0.27228678579695836
0.15725990562966086,0.2515342017417561
0.16343844839557026,0.2311427154569939
0.16985973829119017,0.21112298987109587
0.17653331254418353,0.1914863251498458
0.18346908308782384,0.17224471639325128
0.19067735128270508,0.15341091801500914
0.1981688232168475,0.13499851574877703
0.2059546256069277,0.1170220073846979
0.21404632232424567,0.09949689353035948
0.22245593156997645,0.0824397799196953
0.2311959437252174,0.0658684930703603
0.24027933990233946,0.04980221142627882
0.24971961122519748,0.034261614531882686
0.2595307788668376,0.019269053286814712
0.26972741487445895,0.004848744948654117
0.28032466381256127,-0.008973002682197665
0.2913382652564271,-0.022167532505902126
0.3027845771693422,-0.0347035382070799
0.3146806001982768,-0.0465467150787715
0.3270440029241165,-0.057659351562867056
0.33989314810393995,-0.06799984901998217
0.35324711994432256,-0.07752215406120488
0.36712575244617635,-0.08617508363257374
0.3815496588632201,-0.09390151760110252
0.39654026231783557,-0.1006374263704178
0.4121198276197844,-0.10631069137255396
0.42831149433504023,-0.11083966315466862
0.44513931115385186,-0.11413138376072442
0.4626282716090889,-0.11607937504806039
0.48080435119791143,-0.11656085922190051
0.4996945459619055,-0.11543322719876481
0.5193269125829809,-0.11252949652988076
0.5397306100545911,-0.1076523908402409
0.5609359429901571,-0.10056650617162863
0.5829744066330262,-0.09098777090590704
0.6058787336348184,-0.07856899345404164
0.6296829426716303,-0.06287961448227923
0.6544223889703088,-0.04337662985521873
0.6801338168198428,-0.01936161899815953
0.7068554141458556,0.010084938737615583
0.7346268692292608,0.046208185641566035
0.7634894296533268,0.09075354420405933
0.7934859635666928,0.14627687131732897
0.8246610233533294,0.21673981741350978
0.8570609118040192,0.30877760118155834
0.890733750887624,0.43482440233406205
0.9257295532242872,0.6227781794128118
0.9621002963667371,0.9615361779240744
0.9999,4.065754484595598
