alias,n_runs,logistic_b0,logistic_b1,weibull_lambda,weibull_k,logistic_bic,weibull_bic,logistic_aic,weibull_aic,bootstrap_n,bootstrap_success_logistic,bootstrap_success_weibull,bootstrap_success_both,logistic_b0_ci_low,logistic_b0_ci_high,logistic_b1_ci_low,logistic_b1_ci_high,weibull_lambda_ci_low,weibull_lambda_ci_high,weibull_k_ci_low,weibull_k_ci_high,bic_diff,bic_diff_ci_low,bic_diff_ci_high,bic_logistic_win_rate,bic_weight_logistic,bic_weight_logistic_ci_low,bic_weight_logistic_ci_high,aic_diff,aic_diff_ci_low,aic_diff_ci_high,aic_logistic_win_rate,aic_weight_logistic,aic_weight_logistic_ci_low,aic_weight_logistic_ci_high
Claude 3 Opus,1371,1.8602934242445694,-0.9311267899504513,0.055890621034036,0.6324447538425139,809.5810079913125,816.9317349157591,799.1344166321878,806.4851435566344,300,300,300,300,1.60787966128919,2.176783882255859,-1.0220545573833058,-0.8484471506677042,0.047189030803738916,0.06586829429949112,0.5795930719638711,0.6923914904656285,-6.9129252371252505,-24.216191200896702,5.610678867523765,0.8233333333333334,0.8073191625828806,0.057064460683542706,0.9999944528885748,-6.9129252371252505,-24.216191200896702,5.610678867523765,0.8233333333333334,0.8073191625828806,0.057064460683542706,0.9999944528885748
Claude 3.5 Sonnet (New),1384,2.9804557444113895,-0.8873298143351634,0.014627866570311869,0.6010561048648397,940.7421964007223,950.8688654146061,930.276730128367,940.4033991422509,300,300,300,300,2.656836547527497,3.3465041913114444,-0.9852254614937795,-0.8113753460814929,0.01242211953562667,0.01708057066536784,0.5587320573786042,0.6547341681216304,-9.272473750899564,-23.04097056844264,2.9920439918301436,0.94,0.91596679444121,0.1860891486284948,0.9999899418726104,-9.272473750899564,-23.04097056844264,2.9920439918301436,0.94,0.91596679444121,0.1860891486284948,0.9999899418726104
Claude 3.5 Sonnet (Old),1378,2.762448527355218,-0.9484896997265035,0.02244730146062231,0.591164600020677,883.8681836046034,912.8110335853261,873.4114067014561,902.3542566821789,300,300,300,300,2.4598247440554544,3.159659914165388,-1.0594846821737633,-0.8607728465856491,0.018583393016358772,0.026942152688518076,0.5407882850568332,0.6593539799767384,-28.64278400564433,-46.510481614865604,-11.531205326083429,1.0,0.999584937528981,0.9968762790562608,0.9999999999201428,-28.64278400564433,-46.510481614865604,-11.531205326083429,1.0,0.999584937528981,0.9968762790562608,0.9999999999201428
Claude 3.7 Sonnet,1344,5.327957308838897,-1.2975385833405086,0.008679255011551363,0.8695920910950371,679.1529403157349,675.4870699648886,668.7461292735687,665.0802589227225,300,300,300,300,4.711540537292611,6.1738564408588825,-1.4845677772933823,-1.1724202617853081,0.007538664971532761,0.010270594742230906,0.788037806592256,0.9945126905721007,3.2178256068829683,-9.140863182954797,19.028773977454332,0.3,0.32390298362883835,7.37773743399436e-05,0.9897266160089911,3.2178256068829683,-9.140863182954797,19.028773977454332,0.3,0.32390298362883835,7.37773743399436e-05,0.9897266160089911
GPT-2,746,-1.914437194280737,-0.603832287762404,9.133001611499582,0.37324527058898593,887.7687561428094,881.1585459852055,878.5393049424018,871.9290947847979,300,300,300,300,-2.2750318883415876,-1.580637165068581,-0.7401001694136654,-0.47375871019294646,7.013534279399964,12.115743734476343,0.2861977429850495,0.48935251792984535,6.717693483982373,5.046596090131819,8.2863375416529,0.0,0.03607636220746702,0.015624582141040611,0.07424213673701845,6.717693483982373,5.046596090131819,8.2863375416529,0.0,0.03607636220746702,0.015624582141040611,0.07424213673701845
GPT-4 0125,1379,2.1269229987238147,-1.1651727740624735,0.07426919076833578,0.7070816833169561,642.9774312762979,678.1723861664949,632.5192035207114,667.7141584109083,300,300,300,300,1.826227217538952,2.508224891184607,-1.2824475415191225,-1.066389776198722,0.063263812361046,0.08731105370829308,0.6144716362537015,0.8210459042032513,-33.5418304036088,-67.89764626723903,-7.881014449920649,0.9966666666666667,0.9957255899564775,0.9809312530371889,0.999999999999998,-33.5418304036088,-67.89764626723903,-7.881014449920649,0.9966666666666667,0.9957255899564775,0.9809312530371889,0.999999999999998
GPT-4 0314,1279,1.7962630269263509,-0.9606403983565112,0.06305382554122921,0.6582560921112982,694.0143260098869,702.5681436564437,683.7066584067292,692.260476053286,300,300,300,300,1.5218635913288872,2.146585263864303,-1.0556388304057533,-0.8842568009600185,0.05263135464292073,0.0750277212308444,0.608626450211592,0.7257110848300593,-8.039383957319899,-19.57981697949591,1.75976395625093,0.93,0.8884355862261066,0.2933696050280749,0.9999436085411024,-8.039383957319899,-19.57981697949591,1.75976395625093,0.93,0.8884355862261066,0.2933696050280749,0.9999436085411024
GPT-4 1106,1376,1.879788564122024,-0.8550388125639903,0.04455358499121754,0.596603094526213,894.5726012778201,891.1066032068146,884.1187292408335,880.652731169828,300,300,300,300,1.6246879874834086,2.228627358428643,-0.9614797486391178,-0.7739423775493943,0.038095517667059174,0.05454632920431473,0.5409088428422851,0.6561227471744117,2.9775239122367907,-15.424040346404277,16.580217496201698,0.3466666666666667,0.3695858855573941,0.00025094023358419583,0.9995527687680154,2.9775239122367907,-15.424040346404277,16.580217496201698,0.3466666666666667,0.3695858855573941,0.00025094023358419583,0.9995527687680154
GPT-4 Turbo,1372,2.454610088910346,-1.211389166147296,0.06518894785507891,0.7837281741301704,648.1204644967471,664.1018496613277,637.6724148801754,653.653800044756,300,300,300,300,2.110034105350986,2.863789077562135,-1.3468843933479835,-1.096526389377111,0.05646761256161875,0.07398155393660365,0.7098595593092657,0.8716254595692465,-15.182581704687323,-28.455465922452483,-3.462473834893959,0.9933333333333333,0.9834953929103847,0.8491461311084303,0.9999993339858018,-15.182581704687323,-28.455465922452483,-3.462473834893959,0.9933333333333333,0.9834953929103847,0.8491461311084303,0.9999993339858018
GPT-4o,1362,2.103456285967937,-0.912394414314537,0.042856359224987636,0.643440091393191,850.3315406322428,846.0041410673824,839.8981216588238,835.5707220939635,300,300,300,300,1.7885829528593145,2.4727968819014023,-1.0140320336099635,-0.833843311361045,0.036191110092186105,0.05111191273827741,0.5913366257030032,0.7054323579542695,3.7781053762412284,-6.5180838701296295,14.368516874036688,0.20666666666666667,0.25711899341878136,0.0007578886115256917,0.9628844538867404,3.7781053762412284,-6.5180838701296295,14.368516874036688,0.20666666666666667,0.25711899341878136,0.0007578886115256917,0.9628844538867404
davinci-002 (GPT-3),1469,-2.5860079758497014,-1.3393741047311445,3.7051171748143195,0.821384510557605,640.2030134373896,636.7216516835823,629.6183390850418,626.1369773312346,300,300,300,300,-3.0634909818109954,-2.2613110004437305,-1.5212005038925034,-1.2127963705421818,3.0745510078855296,4.467955987802724,0.7175117015637491,0.9460018784807432,3.6894228092969,-4.336407202554804,10.449198373596701,0.13666666666666666,0.22583769166748066,0.005362160543193896,0.897338629411157,3.6894228092969,-4.336407202554804,10.449198373596701,0.13666666666666666,0.22583769166748066,0.005362160543193896,0.897338629411157
human,793,2.329914147202478,-0.4508924143175148,0.0020490131766937396,0.377020848576964,771.0413721287263,771.228361331601,761.6897256854566,761.8767148883313,300,300,300,300,2.025630942102064,2.7629848962212944,-0.5404069182870759,-0.39080635560460925,0.0013264738582521288,0.003036995348630097,0.32858673963729634,0.44381946596486394,-0.21441183886645376,-3.5726469267185705,3.2767472384520198,0.5466666666666666,0.5245929592698831,0.16268959103451816,0.8563825498574652,-0.21441183886645376,-3.5726469267185705,3.2767472384520198,0.5466666666666666,0.5245929592698831,0.16268959103451816,0.8563825498574652
o1,1337,3.333100201716316,-0.8538639129944671,0.009080762207621794,0.6326615818124182,892.131688139698,885.5123067061212,881.7353209854941,875.1159395519173,300,300,300,300,2.9315578953777055,3.855681724249202,-0.9677091040406605,-0.7572243681856884,0.00749192713287125,0.010788810514090837,0.5756308807389445,0.7017007095085781,6.403571185495537,-4.290082763211513,17.45198106834904,0.15,0.17800013591460348,0.0001657249201199947,0.8950831811279979,6.403571185495537,-4.290082763211513,17.45198106834904,0.15,0.17800013591460348,0.0001657249201199947,0.8950831811279979
o1-preview,1337,3.3615570073003442,-1.020050183322948,0.0177496933690686,0.7009298709577022,823.4760193984638,819.6445692706054,813.0796522442599,809.2482021164016,300,300,300,300,2.9932111976326157,3.8579388855064796,-1.1513051382747566,-0.9231670717316294,0.015050921016031078,0.021030613062705053,0.6453359893350731,0.773030273413756,3.188187215392702,-9.608535768633915,15.338437610269736,0.30333333333333334,0.3247735481965664,0.00047070487651995824,0.9917365849618431,3.188187215392702,-9.608535768633915,15.338437610269736,0.30333333333333334,0.3247735481965664,0.00047070487651995824,0.9917365849618431
